date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:06	99061/99061	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2005:27:50%20GMT	https://ihatetomatoes.net/svg-christmas/	C:/Users/Jause/Desktop/venta%20cuenta%20lol/xdddddd/ihatetomatoes.net/svg-christmas/index.html	(from )
18:39:06	55/55	---MCZ	200	added ('OK')	text/plain	date:Thu,%2021%20Dec%202017%2017:39:04%20GMT	https://ihatetomatoes.net/robots.txt		(from )
18:39:07	28269/28269	---M--	200	added ('OK')	image/png	etag:%2254844990-6e6d%22	https://ihatetomatoes.net/svg-christmas/img/img_svg-christmas_fb.png	C:/Users/Jause/Desktop/venta%20cuenta%20lol/xdddddd/ihatetomatoes.net/svg-christmas/img/img_svg-christmas_fb.png	(from https://ihatetomatoes.net/svg-christmas/)
18:39:07	2502/2502	---MCZ	200	added ('OK')	text/css	date:Sun,%2007%20Dec%202014%2012:35:47%20GMT	https://ihatetomatoes.net/svg-christmas/css/normalize.min.css	C:/Users/Jause/Desktop/venta%20cuenta%20lol/xdddddd/ihatetomatoes.net/svg-christmas/css/normalize.min.css	(from https://ihatetomatoes.net/svg-christmas/)
18:39:07	3555/3555	---MCZ	200	added ('OK')	text/css	date:Wed,%2017%20Dec%202014%2004:50:33%20GMT	https://ihatetomatoes.net/svg-christmas/css/main.min.css	C:/Users/Jause/Desktop/venta%20cuenta%20lol/xdddddd/ihatetomatoes.net/svg-christmas/css/main.min.css	(from https://ihatetomatoes.net/svg-christmas/)
18:39:07	19484/19484	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2007%20Dec%202014%2012:36:37%20GMT	https://ihatetomatoes.net/svg-christmas/js/vendor/modernizr-2.6.2-respond-1.1.0.min.js	C:/Users/Jause/Desktop/venta%20cuenta%20lol/xdddddd/ihatetomatoes.net/svg-christmas/js/vendor/modernizr-2.6.2-respond-1.1.0.min.js	(from https://ihatetomatoes.net/svg-christmas/)
18:39:07	2724/2724	---M--	200	added ('OK')	image/gif	etag:%225484498d-aa4%22	https://ihatetomatoes.net/svg-christmas/img/b.gif	C:/Users/Jause/Desktop/venta%20cuenta%20lol/xdddddd/ihatetomatoes.net/svg-christmas/img/b.gif	(from https://ihatetomatoes.net/svg-christmas/)
18:39:07	8429/8429	---M--	200	added ('OK')	image/png	etag:%2255b81040-20ed%22	https://ihatetomatoes.net/wp-content/uploads/2015/07/img_greensock-workshop-155x220.png	C:/Users/Jause/Desktop/venta%20cuenta%20lol/xdddddd/ihatetomatoes.net/wp-content/uploads/2015/07/img_greensock-workshop-155x220.png	(from https://ihatetomatoes.net/svg-christmas/)
18:39:08	96381/96381	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	C:/Users/Jause/Desktop/venta%20cuenta%20lol/xdddddd/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from https://ihatetomatoes.net/svg-christmas/)
18:39:08	96381/96381	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2007%20Dec%202014%2012:36:36%20GMT	https://ihatetomatoes.net/svg-christmas/js/vendor/jquery-1.11.0.min.js	C:/Users/Jause/Desktop/venta%20cuenta%20lol/xdddddd/ihatetomatoes.net/svg-christmas/js/vendor/jquery-1.11.0.min.js	(from https://ihatetomatoes.net/svg-christmas/)
18:39:08	107961/107961	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2020:04:05%20GMT	https://cdnjs.cloudflare.com/ajax/libs/gsap/latest/TweenMax.min.js	C:/Users/Jause/Desktop/venta%20cuenta%20lol/xdddddd/cdnjs.cloudflare.com/ajax/libs/gsap/latest/TweenMax.min.js	(from https://ihatetomatoes.net/svg-christmas/)
18:39:08	16099/16099	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2015%20Jun%202015%2009:37:11%20GMT	https://ihatetomatoes.net/svg-christmas/js/app.min.js	C:/Users/Jause/Desktop/venta%20cuenta%20lol/xdddddd/ihatetomatoes.net/svg-christmas/js/app.min.js	(from https://ihatetomatoes.net/svg-christmas/)
18:39:11	46275/46275	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	http://www.google-analytics.com/ga.js	C:/Users/Jause/Desktop/venta%20cuenta%20lol/xdddddd/www.google-analytics.com/ga.js	(from https://ihatetomatoes.net/svg-christmas/)
